name,manufacturer,price,salt_name,strength
Oxycystin,Pulse,Rs 130,Oxybutynin,5mg
Oxynin,Venus,Rs 130,Oxybutynin,5mg
Oxynin,Venus,Rs 80,Oxybutynin,3mg
OD-3,Adamjee Pharmaceuticals,Rs 83,Azithromycin,250mg
Ottocin,Ottoman,Rs 150,Azithromycin,250mg
Ottocin,Ottoman,Rs 125,Azithromycin,500mg
Olidon,Olive Health Care,Rs 135,Domperidone,10mg
Optilium,Pakheim,Rs 30,Domperidone,10mg
Otatone,Orta,Rs 34,Domperidone,10mg
Olidon-M,Olive Health Care,Rs 135,Domperidone Maleate,10mg
Omperin,Bio Labs,Rs 43,Domperidone Maleate,10mg
Osveral,Nextar,Rs 156,Desferrioxamine Mesylate,250mg
Osveral,Nextar,"Rs 7,280",Desferrioxamine Mesylate,500mg
Opatil,Isis,Rs 205,Diphenoxylate,2.5mg|0.025mg
Orcydex,Jaens,Rs 102,Dexamethasone,0.1%
Ocutrol,Farmigea,Rs 112,Dexamethasone,0.1%
Obitran,Obasons,Rs 13,Trimethoprim,80mg
Ostrin Forte,Bryon,Rs 25,Trimethoprim,160mg
Ostrin,Bryon,Rs 14,Trimethoprim,80mg
Osveral,Nextar,"Rs 2,650",Desferrioxamine Mesylate,125mg
Osveral,Nextar,"Rs 4,386",Desferrioxamine Mesylate,250mg
Osveral,Nextar,Rs 260,Desferrioxamine Mesylate,500mg
Omxiclv,Epla,Rs 130,Amoxicillin,875mg
Obradex,Vega,Rs 210,Dexamethasone,0.1%
Ocutob-Dex,Farmigea,Rs 155,Dexamethasone,0.1%
Ocutodex,Ocu Care,Rs 203,Dexamethasone,0.1%
Olivestin,Olive Health Care,Rs 153,Ebastine,10mg
Ocufenac,Farmigea,Rs 168,Diclofenac Sodium,0.1%
Protium 40mg,Abbott Laboratories,"Rs 1,271",Pantoprazole,
Plavix 75mg,Sanofi,Rs 633,Clopidogrel Bisulphate,
Peditral - Orange,Searle,Rs 25,ORS,
Persch 1mg,Barrett,Rs 113,Risperidone,
Persch 2mg,Barrett,Rs 225,Risperidone,
Persch,Barrett,Rs 280,Risperidone,3mg
Persch 4mg,Barrett,Rs 330,Risperidone,
Prozac,Eli Lilly,Rs 919,Fluoxetine,20mg
Plantcal,Werick,Rs 995,Acitretin,
Pan-Amin G,Otsuka,Rs 626,Amino Acid Solution,
Platlo,High-Q,Rs 172,Clopidogrel Bisulphate,75mg
Pro-statin,CCL,Rs 350,Atorvastatin calcium trihydrate,20mg
Pentasa,Atco,Rs 890,Mesalazine,500mg
Pramcit 20mg,Nabi Qasim,Rs 350,Citalopram,20 mg
Prulax,Matrix,Rs 355,,
Prevent 500mg,Platinum,Rs 118,Tinidazole,
Prevent 1gm,Platinum,Rs 258,Tinidazole,1 gm
Pyodine,Brookes,Rs 250,Povidone-Iodine,0.1
Pepcidine 40mg,OBS,Rs 440,Famotidine,
Purin Anti-dandruff Shampoo,CCL,Rs 445,,
Pitalo,Genix,Rs 353,Pitavastatin,2mg
Provate-s Lotion,Saffron,Rs 205,Betamethasone,
Pepzym,Shaigan,Rs 144,,
Pasmolex,Himont,Rs 323,,
Pitalo,Genix,Rs 180,Pitavastatin,1mg
Pitalo,Genix,Rs 380,Pitavastatin,4mg
Pletaal,Otsuka,Rs 726,Cilostazole,100mg
Pletaal,Otsuka,Rs 441,Cilostazole,50mg
Progyluton,Bayer,Rs 320,Estradiol valerate,2mg
Provate-G,Saffron,Rs 132,Betamethasone,0.05%
Pulmonol Lozenges Honey & Lemon,CCL,Rs 78,,
Pyodine,Brookes,Rs 205,Povidone-Iodine,0.5 g
Prospan Cough,Highnoon,Rs 600,,
Paraxyl,CCL,Rs 491,Paroxetine,20mg
Polymalt,High-Q,Rs 154,Iron Polymaltose,100mg
PROTONIX 40MG INJ,Wilshire,Rs 300,Pantoprazole,
Probase,Mass-PH Health,Rs 55,Bisoprolol,2.5mg
Probase,Mass-PH Health,Rs 100,Bisoprolol,5mg
Pamaryl,Himont,Rs 73,Glimepiride,1mg
Pamaryl,Himont,Rs 129,Glimepiride,2mg
Pamaryl,Himont,Rs 199,Glimepiride,3mg
Pamaryl,Himont,Rs 292,Glimepiride,4mg
Pamaryl plus,Himont,Rs 154,Glimepiride,2mg
Piobetic,Genix,Rs 196,Pioglitazone,45mg
Piozer,Hilton,Rs 180,Pioglitazone,15mg
Piozer,Hilton,Rs 263,Pioglitazone,30mg
Piozer,Hilton,Rs 280,Pioglitazone,45mg
Poze,AGP,Rs 280,Pioglitazone,15 mg
Poze,AGP,Rs 365,Pioglitazone,30mg
Poze,AGP,Rs 380,Pioglitazone,45mg
Pyctos,Highnoon,Rs 147,Pioglitazone,30mg
Piozer g,Hilton,Rs 410,Pioglitazone,30mg
Piozer g,Hilton,Rs 520,Pioglitazone,30mg
Poze G,AGP,Rs 210,Pioglitazone,30mg
Poze G,AGP,Rs 275,Pioglitazone,30mg
Piofit plus,Schazoo Pharmaceuticals,Rs 94,Pioglitazone,15mg
Piofit plus,Schazoo Pharmaceuticals,Rs 96,Pioglitazone,15mg
Piomet,CCL,Rs 65,Pioglitazone,15mg
Piomet,CCL,Rs 66,Pioglitazone,15mg
Piozer Plus,Hilton,Rs 220,Pioglitazone,15mg
Piozer Plus,Hilton,Rs 112,Pioglitazone,15mg
Poze met,AGP,Rs 85,Pioglitazone,15mg
Poze met,AGP,Rs 88,Pioglitazone,15mg
Proviron,Bayer,Rs 306,Mesterolone,25mg
Pegalin,Shaigan,Rs 219,Pregabalin.,150 mg
Pegalin,Shaigan,Rs 968,Pregabalin.,300mg
Pegalin,Shaigan,Rs 155,Pregabalin.,75mg
Prefor,Foray,Rs 130,Pregabalin.,75mg
Pregy,Sami,Rs 340,Pregabalin.,100mg
Pregy,Sami,Rs 328,Pregabalin.,75mg
Prelin,Martin Dow,Rs 223,Pregabalin.,100mg
Prelin,Martin Dow,Rs 238,Pregabalin.,150mg
Prelin,Martin Dow,Rs 315,Pregabalin.,300mg
Prelin,Martin Dow,Rs 168,Pregabalin.,50mg
Prelin,Martin Dow,Rs 196,Pregabalin.,75mg
Preglan E-2,Platinum,Rs 798,Dinoprostone,3mg
Prosartan DU,Helix Pharma,Rs 203,Candesartan Cilexetil,16mg
Plazo,Platinum,Rs 270,Azithromycin,200mg
Plazo,Platinum,Rs 255,Azithromycin,250mg
Plazo,Platinum,Rs 421,Azithromycin,500mg
Peridone,Sami,Rs 147,Domperidone,5mg|5ml
Peridone,Sami,Rs 226,Domperidone,10mg
Perilium,Adamjee Pharmaceuticals,Rs 62,Domperidone,10mg
Pyloclar,High-Q,Rs 375,Clarithromycin,250mg
Pyloclar,High-Q,Rs 696,Clarithromycin,500mg
Pred Forte,Barrett,Rs 130,Prednisolone,1%
Piriton,GlaxoSmithKline,Rs 12,Chlorpheniramine,4mg
Pimpal,Brookes,Rs 292,Adapalene,0.001
Paincid,Schazoo Pharmaceuticals,Rs 67,Flurbiprofen,100mg
Proasma,Platinum,Rs 117,Ketotifen,1mg
Prostilet,Remington,Rs 605,Latanoprost,0.005%
Pfiziflox,Pfizer,Rs 149,Levofloxacin,250mg
Pfiziflox,Pfizer,Rs 285,Levofloxacin,500mg
Protektin,Wilson's,Rs 128,Levofloxacin,250mg
Protektin,Wilson's,Rs 195,Levofloxacin,500mg
Pulvilox,Chiesi,Rs 239,Levofloxacin,250mg
Pulvilox,Chiesi,Rs 178,Levofloxacin,500mg
Penro,Bosch,"Rs 2,748",Meropenem,1gm
Penro IV,Bosch,"Rs 1,390",Meropenem,500mg
Paclikebir,Oncogene,"Rs 12,200",Paclitaxel,150mg
Paclikebir,Oncogene,"Rs 20,000",Paclitaxel,300mg
Paclitaxel Ebewe,Novartis,"Rs 16,790",Paclitaxel,150mg
Paclitaxel Ebewe,Novartis,"Rs 20,325",Paclitaxel,300mg
Preterax,Servier,Rs 280,Perindopril,2mg
Polygynax Cap,Atco,Rs 680,Neomycin,
Paedi Care (banana),Wood Wards,Rs 110,"sodium chloride, sodium citrate, potassium chlorid",3.5gm
Peditral - Bubble Gum,Searle,Rs 136,ORS,
Peditral - Orange,Searle,Rs 136,ORS,
Ponstan,Pfizer,Rs 26,Mefenamic Acid,250mg
Ponstan Forte,Pfizer,Rs 43,Mefenamic Acid,500mg
Provas IV,Sami,Rs 155,Paracetamol,1gm
Provas,Sami,Rs 25,Paracetamol,300mg
Perin,Mass-PH Health,Rs 300,Cefepime,500mg
Psulb,Linz,Rs 250,Cefoperazone,1000mg
Prelox,Bosch,Rs 196,Cefpodoxime,40mg
Prelox,Bosch,Rs 380,Cefpodoxime,100mg
Pathonil,Global-Vision,Rs 144,Ceftazidime,500mg
Prolexa,Genetics Pharmaceuticals,Rs 475,Escitalopram,10mg
Prolexa,Genetics Pharmaceuticals,Rs 530,Escitalopram,20mg
Perispa,Platinum,Rs 177,Eperisone,50 mg
PHYSIOGEL CALMING RELIEF A.I. CREAM,GlaxoSmithKline,"Rs 3,250",,
Pain-Aid Plus,Scotman,Rs 145,Diclofenac Sodium and Misoprostol,50mg
Pain-Aid Plus,Scotman,Rs 157,Diclofenac Sodium and Misoprostol,75mg
Panslay,Scilife,Rs 91,Diclofenac Sodium,50mg
Panslay,Scilife,Rs 83,Diclofenac Sodium,75 mg
Phlogin,Brookes,Rs 200,Diclofenac Sodium,50mg
Phlogin,Brookes,Rs 30,Diclofenac Sodium,75mg
Paraxyl CR Tab 25mg 30's,CCL,Rs 728,Paroxetine,25mg
Persch,Barrett,Rs 73,Risperidone,
Polymalt-F,High-Q,Rs 136,Iron Polymaltose,100mg
Peditral Regular,Searle,Rs 136,ORS,
Pat-4,Mass-PH Health,Rs 600,Glucosamine sulphate,500mg
Plaquin-H,Macter,Rs 163,Hydroxychloroquine Sulphate,200mg
Proxen,Martin Dow,Rs 220,Naproxen,250mg
Proxen,Martin Dow,Rs 220,Naproxen,500mg
Paladon,Venture,Rs 99,Piroxicam,20mg
Pcam 0.5 Gel,Martin Dow,Rs 282,Piroxicam,25gm
Pcam,Martin Dow,Rs 156,Piroxicam,20mg
Pcam,Martin Dow Marker,Rs 39,Piroxicam,20mg
Pharox B,Valor,Rs 145,Piroxicam-beta-cyclodextrin,20mg
Pirexen,Saffron,Rs 182,Piroxicam-beta-cyclodextrin,20mg
Pirodex,Schazoo Pharmaceuticals,Rs 71,Piroxicam-beta-cyclodextrin,20mg
Piroxim-Neo,Genix,Rs 184,Piroxicam-beta-cyclodextrin,20mg
Pytex,High-Q,Rs 186,Piroxicam-beta-cyclodextrin,20mg
Pentoxol-M,Scotman,Rs 65,Flupenthixol,0.5mg
Prevenar 13,Pfizer,"Rs 8,052",Pneumococcal vaccine,
Paromax CR,Genetics Pharmaceuticals,Rs 398,Paroxetine,25mg
Paroxin CR,Amarant,Rs 312,Paroxetine,12.5mg
Piride,Amarant,Rs 160,Levosulpiride,25mg
Paraxyl CR 12.5mg,CCL,Rs 502,Paroxetine,12.5mg
Promto 10mg,Scilife,Rs 140,Rabeprazole,
Penbritin 250mg,GlaxoSmithKline,Rs 121,,
Penbritin 500mg,GlaxoSmithKline,Rs 220,,
Prexa 10mg,Nabi Qasim,Rs 299,Escitalopram,
Pulmonol Lozenges Original,CCL,Rs 50,,
Picno Plus,Maxitech Pharma,Rs 398,,
Picno,Maxitech Pharma,Rs 280,,
Peptiloc 20mg,Bosch,Rs 90,Famotidine,
Peptiloc 40mg,Bosch,Rs 180,,
Polypep 20mg,Wilson's,Rs 238,Famotidine,
Peptiban 20mg,Werick,Rs 184,Famotidine,
Pulmonol 120ml,CCL,Rs 126,Chlorpheniramine Maleate,
Plasaline1000ml,Otsuka,Rs 123,Sodium Chloride 0.9% IV solution,
Prostreat 0.4mg,Asian Continental,Rs 490,Tamsulosin HCl,0.4mg
Paedicare 500Ml Orange,Wood Wards,Rs 161,ORS,
Pcam,Martin Dow,Rs 188,,
Photonic Max,Pharma Health,Rs 985,,
Polymalt,High-Q,Rs 240,Iron Polymaltose,
Polyfer,Barrett,Rs 157,Iron Polymaltose,
Polyfer FA,Barrett,Rs 128,,
Polyfer,Barrett,Rs 130,Iron,III Hydroxide Polymaltose Complex + Folic A
Patadin,Shaigan,Rs 250,,
Provate,Saffron,Rs 125,"Betamethasone Dipropionate, Topical",0.05%
Promto,Scilife,Rs 353,Rabeprazole,20mg
Plasil With Enzyme,Pacific Pharma,Rs 113,,
Phlogenzyme,Pacific Pharma,Rs 510,,
Pidogrel-Ap,Highnoon,Rs 230,Clopidogrel Bisulphate,75mg
Pantra,Getz Pharma,Rs 375,Tramadol,100 mg
Pantra Plus,Getz Pharma,Rs 210,Tramadol,37.5 mg
Panaram,Efroze,Rs 470,Paracetamol,500 mg
Paracet,Stand Pharm,Rs 149,Paracetamol,1 gm
Phlogin SR,Brookes,Rs 298,"Diclofenac Sodium, oral",100 mg
Polyfax,GlaxoSmithKline,Rs 169,"Bacitracin and Polymyxin B, topical",
Polyfax Plus,GlaxoSmithKline,Rs 168,"Bacitracin and Polymyxin B, topical",
Polypep,Wilson's,Rs 515,Famotidine,40 mg
Plasenzyme,Pacific Pharma,Rs 142,,
Pulmitac,Platinum,Rs 168,"Bambuterol, Oral",5mg|5ml
Pulmitac,Platinum,Rs 325,"Bambuterol, Oral",10 mg
Pulmitac,Platinum,Rs 411,"Bambuterol, Oral",20 mg
Pulmiterol,kaizen,Rs 150,"Bambuterol, Oral",20 mg
Profylline,kaizen,Rs 141,Doxofylline,400 mg
Plantcal Insta,Wilson's,Rs 34,Acitretin,
Phytus 120ml,Pharm Evo,Rs 410,,
Peroxa,Lisko,Rs 260,Paroxetine HCL,20mg
Panadol CF,GSK Consumer Healthcare,Rs 58,Chlorpheniramine,
Prulax junior,Matrix,Rs 200,,
Prepro-Gg,Matrix,Rs 655,,
Prepro-Z,Matrix,Rs 615,,
Pediamax,Matrix,Rs 500,,
Pidogrel,Highnoon,Rs 215,Clopidogrel Bisulphate,75 mg
Prescot,Scotman,Rs 325,Pregabalin,100mg
Prescot,Scotman,Rs 196,Pregabalin,50mg
Prescot,Scotman,Rs 340,Pregabalin.,150mg
Provas-N Forte,Sami,Rs 76,,
Paclitaxel Ebewe,Novartis,"Rs 12,212",Paclitaxel,100mg
Plavix,Sanofi,Rs 189,Clopidogrel Bisulphate,300mg
Pregy,Sami,Rs 234,Pregabalin,25mg
Pregy,Sami,Rs 271,Pregabalin,50mg
Pramcit,Nabi Qasim,Rs 300,Citalopram,20 mg
Pladex-5,Otsuka,Rs 128,,
Paedicare Strawberry Oral Electrolyte Solution 500 ml Liquid Bottle,Woodwards,Rs 134,ORS,
Proflor 5 ml Oral Suspension 2 x 5's Bottles Pack,Matrix,Rs 500,Bacillus Clausii,
Pofol,Dongkook pharmaceutical,Rs 464,Propofol,200 mg
Pain Aid Plus,Scotmann,Rs 165,Diclofenac Sodium,75 mg
Piravir,Getz Pharma,"Rs 1,500",Favipiravir,200 mg
Plop,Genix,Rs 500,Olopatadine,
Provas-N,Sami,Rs 94,Orphenadrine and Paracetamol,450 mg
Pipbacta,CCL,Rs 942,Piperacillin,4.5 gm
Paraxyl CR,CCL,Rs 542,Paroxetine HCL,37.5 mg
Prolifen,Chiesi,Rs 608,Clomiphene,50 mg
Potassium K+ (Urine) Lab Test,Khan Labs & Diagnostic Center,Rs 500,,
Posterisan Forte,AGP,Rs 421,Hydrocortisone,
Polybion Z,Martin Dow,Rs 129,Multivitamins with Zinc,
Posterisan,AGP,Rs 399,Hydrocortisone,
Prevent,Platinum,Rs 85,Tinidazole,1 gm
Panaram,Efroze,Rs 24,Paracetamol,500 mg
Prescot,Scotmann,Rs 143,Pregabalin,75 mg
Prolexa,Genetics Pharmaceuticals,Rs 420,Escitalopram,10 mg
Paroxin CR,Amarant,Rs 522,,
Pentoxol,Scotmann,Rs 33,Flupenthixol,1 mg
Pregy,Sami,Rs 228,Pregabalin,150 mg
Predheal,Tabroos,Rs 219,,
Predheal,Tabroos,Rs 224,,
Polyfer FA,Barrett,Rs 150,,
Pulse,Werick,Rs 65,,
Preneu,Nabi Qasim,Rs 385,,
Pulmonol Lozenges Honey & Lemon,CCL,Rs 50,,
Pelton-C,Global Pharma,Rs 133,,
Prostryl,Novins,Rs 443,Finasteride,5mg
Panadol Liquid,GSK Consumer Healthcare,Rs 144,Paracetamol,160mg
Phitofert Men,Promopharma,"Rs 1,700",,
Phitofert woman,Promopharma,"Rs 1,700",,
Panadol Extra,GSK Consumer Healthcare,Rs 50,Paracetamol,
Panadol 30 ml Drops,GSK Consumer Healthcare,Rs 87,Paracetamol,
PK-Merz,Brookes,Rs 325,Amantadine,100mg
Piriton 120ml,GlaxoSmithKline,Rs 65,Chlorpheniramine,
PLADEX-5 (PIGGY PACK) 100 ML INFUSION,Otsuka,Rs 85,Dextrose IV Soln,
PREFRIN A 10 ML DROP,Barrett,Rs 93,,
Piobetic,Genix,Rs 84,Pioglitazone,15mg
PG Min,Novins,Rs 49,Pioglitazone,15mg
Pyctomet,Highnoon,Rs 98,Pioglitazone,15mg
Perilium,Adamjee Pharmaceuticals,Rs 98,Domperidone,5mg
Perilium,Adamjee Pharmaceuticals,Rs 61,Domperidone,5mg
Pred +,Schazoo Pharmaceuticals,Rs 70,Prednisolone,1%
Prens,Vega,Rs 65,Prednisolone,1%
Prednisynth,Schazoo Pharmaceuticals,Rs 98,Prednisolone,0.2%
Primox Ds,Atco,Rs 21,Trimethoprim,80mg
Probeta-N,Atco,Rs 54,Betamethasone,0.1%
Phenergan Elixir,Sanofi,Rs 72,Promethazine HCL,5 mg
Paedi Care (apple),Wood Wards,Rs 99,"sodium chloride, sodium citrate, potassium chlorid",3.5gm
Paedi Care (ice cream soda),Wood Wards,Rs 99,"sodium chloride, sodium citrate, potassium chlorid",3.5gm
Paedi Care (lemon),Wood Wards,Rs 95,"sodium chloride, sodium citrate, potassium chlorid",3.5gm
Paedi Care (strawberry),Wood Wards,Rs 94,"sodium chloride, sodium citrate, potassium chlorid",3.5gm
Peditral - Banana,Searle,Rs 99,ORS,
Panadol,GSK Consumer Healthcare,Rs 32,Paracetamol,500 mg
Para 6+,Zafa,Rs 50,Paracetamol,250mg
Provate Lotion,Saffron,Rs 117,"Betamethasone Dipropionate, Topical",0.05 %
Phlogin,Brookes,Rs 76,Diclofenac Sodium,75mg|3ml
Provate-S Ointment,Saffron,Rs 120,"Betamethasone Dipropionate and Salicyclic Acid, to",
Pyodine Mouth Wash,Brookes,Rs 99,Povidone-Iodine,1%
Potassium Chloride Injection 25ml,Otsuka,Rs 29,,
Paedi Care (Regular) 3.5gm / 2.9 gm / 1.5 gm / 20 gm,Wood Wards,Rs 95,,
Polybion Forte,Martin Dow,Rs 105,,
Panadol Forte Pine Apple,GSK Consumer Healthcare,Rs 87,Paracetamol,
Phlogin,Brookes,Rs 80,"Diclofenac Sodium, topical",0.01
Provate,Saffron,Rs 107,"Betamethasone Dipropionate, Topical",0.05%
Plasaline 0.9% Sodium Chloride Infusion,Otsuka,Rs 84,Sodium Chloride 0.9% IV solution,100ml
Panadol CF day Caplet,GSK Consumer Healthcare,Rs 69,Paracetamol,500mg
Provate-G,Saffron,Rs 134,"Betamethasone Dipropionate, Topical",
Panadol Extend,GSK Consumer Healthcare,Rs 69,Paracetamol,
Proscar,OBS,Rs 936,Finasteride,5 mg
Primolut-N,Bayer,Rs 104,Norethisterone,5mg
Physiogel Cream,Physiogel,"Rs 1,950",,
Pro-statin 10mg,CCL,Rs 175,Atorvastatin calcium trihydrate,10mg
Plendil,Barrett,Rs 143,Felodipine,5 mg
Plasaline,Otsuka,Rs 107,Sodium Chloride 0.9% IV solution,
Praz 0.5mg,Scilife,Rs 72,Alprazolam,
Plendil 10mg,Barrett,Rs 793,Felodipine,
Pat-4,Jns International Pvt. Ltd.,"Rs 1,200",Glucosamine,
Phlogin,Brookes,Rs 290,"Diclofenac Sodium, oral",100 mg
Protonix 40mg,Wilshire,Rs 260,Pantoprazole,
Proviva,Better Health Company,Rs 700,,
Praz 0.25mg,Scilife,Rs 51,Alprazolam,
Prelox Galaxy,Galaxy,"Rs 4,620",Cefpodoxime,
PROFENID ( ketoprofen ) 100 MG TABLET,Sanofi,Rs 209,Ketoprofen,100mg
Prothiaden 75 mg,Abbott Laboratories,Rs 66,Dothiepin,
Proxeed Plus,RG Pharma,Rs 390,,
Pyodine Surgical Scrub,Brookes,Rs 182,Povidone-Iodine,0.075
Pyodine,Brookes,"Rs 1,192",Povidone-Iodine,0.1
Pentaglobin,Biotest Pharma,"Rs 13,990",Immune Globulin,0.5gm
Probase,Mass-PH Health,Rs 160,Bisoprolol,10mg
Propranolol Tab,Dawaai,Rs 165,Propranolol HCl,40mg
Propranolol,Siza,Rs 165,Propranolol HCl,40mg
Praba,Tagma,Rs 75,Glimepiride,3mg
Pamaryl plus,Himont,Rs 44,Glimepiride,1mg
Piobetic,Genix,Rs 147,Pioglitazone,30mg
Piofit,Schazoo Pharmaceuticals,Rs 90,Pioglitazone,30mg
Piofit,Schazoo Pharmaceuticals,Rs 120,Pioglitazone,45mg
Piotone,Atco,Rs 140,Pioglitazone,30mg
Piotone,Atco,Rs 200,Pioglitazone,45mg
Piozon,Medicaids,Rs 350,Pioglitazone,15mg
Piozon,Medicaids,Rs 450,Pioglitazone,30mg
Piozone,Pulse,Rs 126,Pioglitazone,30mg
Piozone,Pulse,Rs 200,Pioglitazone,45mg
Pyctos,Highnoon,Rs 196,Pioglitazone,45mg
Piobetic G,Genix,Rs 182,Pioglitazone,30mg
Piobetic G,Genix,Rs 224,Pioglitazone,30mg
Pioton Gem,Atco,Rs 168,Pioglitazone,30mg
Pioton Gem,Atco,Rs 198,Pioglitazone,30mg
Piozer g,Hilton,Rs 290,Pioglitazone,15mg
Piozer g,Hilton,Rs 360,Pioglitazone,15mg
Prenor,Amson,Rs 38,Buprenorphine,0.3mg
Pentafen,Tread Pharma,Rs 108,Pentazocine,30mg
Pentagesic,LCPW,Rs 114,Pentazocine,30mg
Pentagon,Schazoo Pharmaceuticals,Rs 109,Pentazocine,30mg
Pentanor,Global Pharma,Rs 20,Pentazocine,25mg
Penzocine,Amson,Rs 109,Pentazocine,30mg
Pocin,Rakahposhi,Rs 20,Pentazocine,25mg
Pomperc,Mass-PH Health,Rs 85,Tramadol,50mg
Pomperc,Mass-PH Health,Rs 31,Tramadol,50mg
Pofol,Akhai,Rs 310,Propofol,1%
Propofol inf,Zafa,Rs 102,Propofol,1%
Propofol inf,Zafa,Rs 102,Propofol,1%
Propofol Lipuro,B.Braun,Rs 460,Propofol,1%
Parketin,Pfizer,Rs 92,Gabapentin,100mg
Parketin,Pfizer,Rs 562,Gabapentin,300mg
Parketin,Pfizer,Rs 723,Gabapentin,400mg
Penral,CCL,Rs 149,Gabapentin,300mg
Penral,CCL,Rs 199,Gabapentin,400mg
Pingab,Focus & Rulz,Rs 225,Pregabalin.,50mg
Pingab,Focus & Rulz,Rs 325,Pregabalin.,75mg
Prefor,Foray,Rs 158,Pregabalin.,100mg
Prefor,Foray,Rs 200,Pregabalin.,150mg
Prefor,Foray,Rs 100,Pregabalin.,50mg
Pregy,Sami,Rs 455,Pregabalin,150 mg
Pregy,Sami,Rs 108,Pregabalin,50mg
Prostin F-2 Alpha,Pfizer,Rs 508,Dinoprost,5mg
Propess,Galaxy,"Rs 2,500",Dinoprostone,3mg
Prostin E-2,Pfizer,"Rs 4,871",Dinoprostone,3mg
Pancron,Brookes,Rs 38,Pancuronium Bromide,4mg
Parium,Saydon,Rs 30,Pancuronium Bromide,4mg
Pressurex,Pfizer,Rs 128,Telmisartan,20mg
Pressurex,Pfizer,Rs 214,Telmisartan,40mg
Pamidria,Cipla-A.J. Mirza,"Rs 2,375",Pamidronate Disodium,30mg
Pamidria,Cipla-A.J. Mirza,"Rs 3,960",Pamidronate Disodium,60mg
Pamidria,Cipla-A.J. Mirza,"Rs 6,330",Pamidronate Disodium,90mg
Pamisole,Atco,"Rs 2,800",Pamidronate Disodium,30mg
Pyridine,Valor,Rs 600,Phenazopyridine,100mg
Prizocin,Nimrall,Rs 184,Azithromycin,250mg
Pharmaplatin,Pharmadic,"Rs 2,225",Carboplatin,150mg
Pelton,Global-Vision,Rs 146,Domperidone,5mg|5ml
Pelton,Global-Vision,Rs 57,Domperidone,10mg
Pentex,Pearl,Rs 43,Domperidone,10mg
Pericid,LCPW,Rs 38,Domperidone,10mg
Perid,Medisure,Rs 30,Domperidone,10mg
Perill,Polyfine,Rs 32,Domperidone,10mg
Prokin,Global-Vision,Rs 30,Domperidone,10mg
Puridon,Pulse,Rs 29,Domperidone,10mg
Pelton V,Global-Vision,Rs 105,Domperidone Maleate,5mg
Pelton V,Global-Vision,Rs 49,Domperidone Maleate,12.72mg
Peptimax-V,Aries,Rs 34,Domperidone Maleate,10mg
Perid-M,Medisure,Rs 27,Domperidone Maleate,10mg
Pdpoetin,Nextar,"Rs 4,500",Epoetin Alfa,10000IU
Pdpoetin,Nextar,"Rs 1,084",Epoetin Alfa,2000IU
Pdpoetin,Nextar,"Rs 2,000",Epoetin Alfa,4000IU
Phartex Ds,Pharmacare,Rs 268,Trimethoprim,160mg|800mg
Pficid,Pfizer,Rs 445,Clarithromycin,500mg
Pakzole,Pharma Wise,Rs 275,Trimethoprim,80mg
Pakzole Ds,Pharma Wise,Rs 253,Trimethoprim,160mg
Phartex,Pharmacare,Rs 268,Trimethoprim,80mg
Phartex Ds,Pharmacare,Rs 13,Trimethoprim,160mg
Pficid,Pfizer,Rs 240,Clarithromycin,250mg
Pirak,Wise Pharma,Rs 240,Clarithromycin,250mg
Pirak,Wise Pharma,Rs 445,Clarithromycin,500mg
Phenir,Valor,Rs 21,Chlorpheniramine,4mg
Phenerzine,Epoch,Rs 44,Promethazine HCL,25mg
Prozoquin,Delux,Rs 15,Amodiaquine,150mg
Paraquin,Genome Pharma,Rs 380,Dihydroartemisinin,40mg
Peprohyd,Metro,Rs 24,Dihydroartemisinin,15mg
Peproxin,ACE,Rs 24,Dihydroartemisinin,15mg
Polytar,GlaxoSmithKline,Rs 176,Oleyl Alcohol,150ml
Pine,Hsc,Rs 476,Heparin,5000IU
Paracin Plus,Shifa,Rs 27,Hyoscine,10mg
PDFeron-B,Nextar,Rs 600,Interferon Alfa-2b.,3MIU
PDFeron-B,Nextar,"Rs 1,000",Interferon Alfa-2b.,5MIU
Prolfer,Zafa,Rs 609,Interferon Alfa-2b.,3MIU
Pep-Eez,Karachi Chemical,Rs 60,Esomeprazole,20mg
Pepkap,Medisearch,Rs 85,Esomeprazole,20mg
Pepkap,Medisearch,Rs 162,Esomeprazole,40mg
Pepnor,Shaheen,Rs 60,Esomeprazole,20mg
Qusel,Hilton,Rs 200,Quetiapine,25mg
Qarshi Sharbat-e-Banafsha,Qarshi,Rs 170,,
Qusel,Hilton,Rs 428,Quetiapine,100mg
Qufen,High-Q,Rs 97,Diclofenac,100mg
Q-Palgite 120ml,Wood Wards,Rs 230,,
Q-Plex,Wood Wards,Rs 276,,
Qsartan,High-Q,Rs 184,Losartan Potassium,50mg
Qpro,Bosch,Rs 97,Lansoprazole,15mg
Qpro,Bosch,Rs 150,Lansoprazole,30mg
Qpro,Bosch,Rs 315,Lansoprazole,30mg
Qlena,Bosch,Rs 155,Levofloxacin,250mg
Qlena,Bosch,Rs 300,Levofloxacin,500mg
Quest,PDH,Rs 195,Levofloxacin,250mg
Qumic,Bosch,Rs 320,Levofloxacin,500mg
Qumic,Bosch,Rs 280,Levofloxacin,250mg
Qumic,Bosch,Rs 310,Levofloxacin,500mg
Qumic,Bosch,Rs 289,Levofloxacin,750mg
Quvoxin,Amarant,Rs 220,Levofloxacin,250mg
Quvoxin,Amarant,Rs 212,Levofloxacin,500mg
